formula,gen,out_of_range,tc_ideal_K,tc_hw_K
Sr0.53Cu0.9O1.65,cuprate,False,47.94,43.48
Sr5.93La1.94Cu1.68O4.4,cuprate,False,51.92,44.83
P5.4Co2.86Fe1.96,random,False,6.81,6.51
Tl2.27Ca2.7Cu0.72O5.38,cuprate,False,50.06,46.08
Y4.12Cu5.17O2.45,cuprate,False,35.4,29.28
La3.29Ca2.26Cu3.48O5.94,cuprate,False,50.93,44.91
Te1.93V5.74H3.38Cu1.18,random,False,13.76,13.28
S2.46B2.56Ca2.31Bi4.94Nb4.52,random,False,13.09,13.14
O5.54Bi3.24Sb4.45Ti0.73,random,False,5.68,5.71
Ge5.24Si3.5V0.27,random,False,5.34,4.9
Hg0.55Cu0.16O1.48,cuprate,False,34.11,27.12
La2.2F0.88Bi2.81,random,False,7.9,7.81
Se0.87Ba5.56Sb0.1Nb1.25,random,False,7.52,7.43
Ca3.66Cu5.22O0.57,cuprate,False,29.35,28.58
Fe2.7Te2.49Ba3.7,iron,False,8.72,8.75
V2.68Pb1.59Sr1.84,random,False,3.26,3.34
S0.32Tl2.85Y2.64Ba4.54Fe5.49,random,False,18.09,17.18
Cu2.86Sb5.32,random,False,2.79,2.87
Ca4.75Ba0.94,random,True,3.09,3.21
La1.69Ba1.43V5.13C0.65,random,False,11.69,12.21
Fe0.45Te1.98La2.91,iron,False,4.12,4.33
Tl5.19Cu2.72O4.39,cuprate,False,25.8,26.2
S5.51Sn4.6Ge5.12,random,False,2.93,3.18
Fe0.17P0.9Ba3.96,iron,False,10.15,9.94
Nd4.16Cu0.22O4.71,cuprate,False,16.0,16.65
O1.05Ba1.66Hg4.7Ca4.05,random,False,43.47,40.21
Fe0.45Te0.35Tl0.55,iron,False,4.42,4.93
O5.78Zr5.06Ge4.68,random,False,7.89,7.73
Pb5.01Fe0.4Nb1.89Se4.46,random,False,5.72,5.58
Fe5.46As1.16Hg5.51,iron,False,7.52,7.6
Te1.77Pb1.13Co5.88,random,False,4.98,5.07
H2.24La1.87Si3.73P0.32,random,False,9.61,9.74
Fe3.07P4.01Tl4.24,iron,False,5.7,5.47
C2.66Ge4.88Ca3.22,random,False,9.43,8.49
Hg4.03Bi2.76Cu3.83O3.79,cuprate,False,36.77,32.94
Bi5.03Cu0.53O0.8,cuprate,False,6.63,11.67
Ba0.98Y2.33Cu1.79O3.49,cuprate,False,57.52,57.07
C4.97Ba0.71Ti5.37,random,False,15.25,15.42
Nb2.84Bi2.69B5.33,random,False,5.71,5.81
K4.54Fe3.3Hg5.87,random,False,7.09,7.0
F4.7V2.98Hg5.18,random,False,7.29,7.0
La5.36Nd2.79Cu4.64O5.32,cuprate,False,35.0,32.98
Nd0.6Cu1.11O4.01,cuprate,False,20.2,21.0
P1.68Y0.53Sn3.12Ti5.46H2.9,random,False,17.17,15.86
Te5.13Pb1.41,random,False,2.71,2.97
H5.45Si2.08,random,False,5.23,5.28
P5.05Ni2.35,random,False,3.05,3.19
Zr3.11F5.6S3.54,random,False,8.97,8.77
Bi4.13C2.69,random,False,5.63,5.81
Fe5.33As2.73Tl1.48,iron,False,5.3,5.89
Fe4.6Se2.21La0.71,iron,False,8.37,7.78
Ca5.42Zr0.5Ni5.32,random,False,7.72,7.36
V3.46Cu2.04La4.69,random,False,6.01,6.27
C1.72Te4.71Ca0.87,random,False,4.56,4.38
Sr5.62Y0.67Cu5.0O2.23,cuprate,False,46.56,36.22
Mo1.24Bi0.81,random,False,3.48,3.31
V0.29Pb2.55Sn4.72,random,False,2.64,2.63
P4.01Cu4.97Ni0.46Ti1.52C5.65,random,False,12.57,12.33
Mo2.66Ba2.6Se1.64Sb2.3Y5.47,random,False,12.15,9.86
La1.45Sr4.26Hg3.14B2.36,random,False,12.05,11.45
Co1.41P4.5Ba3.18,random,False,8.34,14.96
Sr3.16B1.52,random,False,12.11,11.24
Te0.48S1.38,random,False,3.48,3.14
Ca3.91Mg0.45La5.08P1.51,random,False,16.31,16.03
Hg3.55Ba2.45Cu2.98O2.86,cuprate,False,60.08,56.35
Sr4.42Cu5.73O5.99,cuprate,False,47.1,46.33
Nd1.8Cu5.84O4.72,cuprate,False,32.76,31.35
Fe5.28Te1.19Tl5.06,iron,False,4.65,4.73
Tl5.49Cu5.33O5.0,cuprate,False,29.23,27.76
Mg4.85Sb4.48Bi1.64S0.52Nb1.2,random,False,14.99,14.68
Ba2.05Cu1.85O3.4,cuprate,False,50.94,49.65
Fe3.39Te2.82Ba2.11,iron,False,8.92,8.89
Mo2.58Hg1.42Y1.35,random,False,6.46,6.53
Mo2.88Se2.74,random,False,4.91,4.97
Y2.92Nd1.19Cu2.1O5.97,cuprate,False,39.07,36.73
Ca2.29Mo5.71Sn5.19,random,False,3.62,3.97
Rb2.97Nb2.98,random,False,2.24,3.0
F0.67Pb0.46,random,False,8.91,8.57
Sr5.16Ba2.68Cu0.59O3.74,cuprate,False,53.11,49.33
Sn2.87Y3.59Fe3.12Ni4.59,random,False,4.83,5.34
Fe1.34Se1.38Ca1.77,iron,False,15.87,14.61
La0.53Cu3.09O0.6,cuprate,False,27.43,25.96
Sb0.47Hg4.98Ni1.21Ca1.46B2.63,random,False,17.1,15.42
Fe1.89Te3.92Ca0.31,iron,False,6.48,6.36
Hg0.49Sr3.3Cu3.64O1.14,cuprate,False,46.14,41.18
Ba5.65Ca0.48Cu0.51O3.49,cuprate,False,45.57,46.03
Fe4.44P4.53Y4.06,iron,False,9.45,9.17
Nd5.48La3.54Cu2.12O3.36,cuprate,False,31.84,28.33
Ba2.46Mg4.92Ca2.59,random,False,3.44,3.61
Mg1.72Ge0.66,random,False,8.23,8.11
La0.39Bi5.46Cu0.72O2.67,cuprate,False,9.52,9.55
Bi4.98Y4.25Cu3.82O5.31,cuprate,False,25.92,24.35
C4.95Mo1.98Ba0.76V5.06,random,False,9.26,9.91
Tl3.65Cu0.36O5.53,cuprate,False,16.85,16.72
Fe2.57Se0.62Ca1.44,iron,False,14.75,13.99
La4.94Tl5.61Cu5.16O3.44,cuprate,False,40.2,37.56
Fe5.82Se4.76Sr1.05,iron,False,9.23,8.97
Ba0.96Pb2.96,random,False,2.79,2.85
Tl5.93Co0.33Ba2.03Sn4.39,random,False,4.28,4.0
Se3.58H4.28,random,False,3.86,3.81
Fe4.77Te1.69La3.26,iron,False,6.37,6.21
Hg0.4Ba0.22Cu3.8O4.31,cuprate,False,62.39,52.23
Fe4.46As2.37La3.85,iron,False,5.68,5.2
Sb3.81Te2.75,random,False,2.36,2.77
Fe2.61As1.94La1.57,iron,False,5.96,5.78
Si2.01Mo1.11Zr4.16O4.82Fe1.71,random,False,15.25,14.09
Hg0.94Sr1.44Cu3.72O5.03,cuprate,False,67.55,62.43
V5.9As3.17Fe0.23,random,False,7.32,7.3
Fe3.94Te1.72Bi2.95,iron,False,4.57,4.69
Sr5.4Cu3.45O1.86,cuprate,False,37.83,32.28
O2.97Bi2.17,random,False,3.35,9.63
Fe4.77Se4.49Ca4.76,iron,False,15.08,13.94
Sr2.28Cu5.76O4.98,cuprate,False,45.42,44.27
Ca0.72Zr2.93Nb2.95Sn3.43,random,False,5.24,4.93
B2.57C3.17,random,False,6.91,6.88
Ni3.43Bi2.99,random,False,2.06,1.91
H3.33Fe4.6Ge1.21Te4.19,random,False,7.96,8.01
Tl5.42Cu4.53O2.67,cuprate,False,27.37,25.75
Tl1.29Ca1.08Cu0.34O2.99,cuprate,False,44.76,42.13
Fe4.38Te3.27Y1.56,iron,False,7.58,7.62
Ca2.83V0.76S5.7,random,False,12.01,12.06
Ca4.95La5.89Cu4.58O1.34,cuprate,False,42.2,39.15
Bi3.01Hg2.93Cu2.75O3.64,cuprate,False,33.22,32.26
Se4.23Nb2.74F4.01P0.95,random,False,8.43,8.08
Rb0.46La4.77Ti2.32H0.33Te0.17,random,False,15.91,15.05
Mo3.63H4.41,random,False,4.89,4.85
La5.9Nd5.16Cu3.73O1.67,cuprate,False,33.9,27.81
Sr2.31Nb0.96Y0.32Ni5.95As3.06,random,False,6.28,6.13
Pb1.9Sr1.89,random,False,2.63,2.78
La0.48Cu0.7O1.18,cuprate,False,27.04,21.5
Y3.32Cu0.86O4.6,cuprate,False,28.78,26.6
Hg3.19Cu4.0O3.36,cuprate,False,37.77,36.92
Fe3.93Te0.61Sr0.54,iron,False,9.8,9.05
Si3.3Sb3.97,random,False,3.94,4.09
La3.23K5.1H4.8Fe5.19Ba5.89,random,False,17.11,16.69
Ca5.29Cu1.0O4.43,cuprate,False,43.53,56.96
Rb4.62Sn2.43Te3.47Tl4.69B0.94,random,False,6.66,7.0
Cu0.32Se5.91Hg4.68Rb4.11B0.19,random,False,22.28,21.35
Sr5.87Cu4.06O5.39,cuprate,False,45.56,42.89
Ba4.96Si3.22La0.73,random,False,10.91,11.79
Sn0.25C4.64,random,False,6.22,6.13
Y2.58Tl4.46Cu0.79O3.53,cuprate,False,35.47,36.64
Sb4.11F4.4Y1.6Mo2.11S2.3,random,False,10.8,9.84
Ca2.46Sr0.18Cu3.49O1.6,cuprate,False,43.27,42.99
H5.17Co2.63Ba5.88Sr0.19Si4.3,random,False,23.95,22.8
Fe4.36Te3.3Tl0.17,iron,False,5.55,5.35
Ba2.57Ca3.43Cu2.2O5.93,cuprate,False,65.13,59.55
Sr2.03Ba1.31Cu4.55O3.74,cuprate,False,57.88,54.58
Ca3.03Y5.73Cu0.77O0.79,cuprate,False,36.51,36.16
Fe2.56Se5.2Bi2.76,iron,False,4.62,5.0
Nd4.87Sr2.74Cu4.27O2.03,cuprate,False,47.2,42.97
Y2.82Cu3.15O2.62,cuprate,False,36.85,35.51
S0.31La2.48F2.51Ni3.56,random,False,9.58,9.69
Zr2.77Sr3.64,random,False,3.32,3.64
Sn5.24Sr2.25Te1.03V2.98Mg1.84,random,False,11.39,10.42
Fe2.11As2.86Tl1.43,iron,False,4.42,4.15
Bi0.12V3.65Sn3.18K1.47,random,False,3.29,3.65
Ni0.31Fe1.35S4.45Ca1.25,random,False,11.27,10.46
Fe2.04Te1.06La3.08,iron,False,5.49,5.16
H0.97Nb5.3Ti5.7Ba1.5,random,False,18.42,16.86
Fe5.66Te3.69Ba0.38,iron,False,8.19,24.88
As5.12Cu0.3Hg4.04S1.12,random,False,11.22,12.05
Tl3.51Y1.34Cu4.55O3.13,cuprate,False,47.53,43.64
Tl4.69Cu2.52O0.55,cuprate,False,21.96,22.18
Fe2.89Co2.79Ba0.17Nb3.01,random,False,5.89,6.17
Fe0.37P3.91Tl5.5,iron,False,5.09,5.21
Tl2.41Bi3.23Cu2.09O1.34,cuprate,False,20.35,20.5
Tl2.09Sr5.95Cu2.21O0.64,cuprate,False,43.09,41.03
La1.59Ba5.01Cu4.9O5.78,cuprate,False,56.11,51.33
Fe4.53Se5.76Bi2.5,iron,False,5.44,5.13
S5.13Hg1.18Sr5.67F3.88Mo6.0,random,False,11.67,11.48
Nd1.36Bi5.35Cu1.79O0.61,cuprate,False,16.24,15.73
Zr4.79Ti3.85La0.4Fe5.69,random,False,6.71,6.6
Fe3.24Te5.59Tl4.16,iron,False,4.33,4.21
Fe0.65Se3.73Ca4.64,iron,False,16.18,15.06
Ni5.47Rb4.46B0.86Pb5.45Ti5.38,random,False,9.14,8.66
Y3.66Ni1.33Sr3.69,random,False,5.4,5.63
K1.82Hg4.87Zr3.76Ge0.14,random,False,8.52,8.26
Fe4.43B0.92O4.51Mg1.09,random,False,23.13,21.99
O5.46Ni0.12,random,False,3.29,3.35
Tl4.47Hg3.59Si4.44S3.71B3.26,random,False,11.12,10.31
La0.6Hg1.93,random,False,3.53,3.61
Fe1.76Se3.84Sr5.39,iron,False,9.74,8.64
Te3.52Ni2.59Mg4.66,random,False,6.35,5.23
La4.44Cu2.97O2.02,cuprate,False,28.45,26.67
Mo0.75Rb4.81B2.57P5.49O2.51,random,False,13.45,23.07
Sr4.26Ti2.65P5.05Sb3.45Ge0.4,random,False,13.25,12.5
Fe5.22P3.22Nd0.74,iron,False,9.22,10.0
Ge5.14P3.56,random,False,3.92,3.94
Cu2.98Bi3.6Ni3.8Mg4.39,random,False,7.63,7.42
Fe4.83P4.82Y4.21,iron,False,9.49,9.95
Nb4.15O1.83Ca5.81Hg3.49Te0.45,random,False,29.41,26.99
Fe0.93Se1.13Hg4.39,iron,False,7.53,7.06
Ba2.45Cu5.54O3.13,cuprate,False,45.93,48.98
Hg4.43Pb2.28Ca3.44,random,False,8.12,7.8
V3.82Cu2.19Fe1.78Tl4.01C5.76,random,False,11.74,11.3
Se1.87K3.36Y4.34,random,False,6.09,6.26
Sr3.48Ca2.53Cu2.11O4.66,cuprate,False,58.13,55.33
Ba2.02La3.32V1.55As5.47,random,False,5.77,5.46
H2.1Si1.32Co5.76Bi4.29V4.68,random,False,10.0,10.78
Nd3.26Cu2.32O2.52,cuprate,False,29.28,28.42
Fe4.33S5.51O1.2,random,False,6.71,5.99
Y0.28Bi1.04Cu1.2O3.96,cuprate,False,15.29,15.26
Y2.45Hg5.72Cu5.42O1.38,cuprate,False,46.43,43.17
K0.19Mo5.68Ba5.67Mg2.18,random,False,6.58,6.26
Fe2.22Se5.6Y4.33,iron,False,7.29,7.08
Fe5.84P4.18Ca2.51,iron,False,13.64,12.23
Sr2.48Cu1.51O1.86,cuprate,False,44.0,42.07
Hg1.62Cu4.65O4.72,cuprate,False,40.78,32.89
Fe0.33As5.15Bi0.31,iron,False,5.24,5.46
V5.24Sr3.47Ni1.76,random,False,4.4,19.16
Fe2.48Te3.09Y4.59,iron,False,7.23,7.41
Mo4.35Rb5.91,random,False,2.47,2.39
Zr4.39Ca1.21Sr5.0H4.61Sb5.27,random,False,23.68,23.18
Rb2.55S2.71As4.43Ca4.69Cu4.85,random,False,29.28,28.61
Bi4.22Y4.64Cu2.17O3.94,cuprate,False,25.53,23.86
Cu1.77O2.1,random,False,15.25,14.64
Y2.92Cu2.47O0.77,cuprate,False,32.22,30.96
Sr2.67Nd2.79Cu4.43O0.68,cuprate,False,43.97,41.92
Ni3.93Ti3.82Rb2.07Tl1.6,random,False,5.72,5.86
Nd1.91Bi1.43Cu1.63O1.4,cuprate,False,24.3,24.77
S0.23Sb5.18,random,False,2.98,3.15
Tl3.02Cu2.06O2.46,cuprate,False,27.3,27.66
F1.75P3.02Co5.02Tl5.55H1.77,random,False,11.59,10.64
Te2.87F0.26V5.28Co5.61Ti2.75,random,False,15.0,14.98
Fe0.63Se1.28Bi2.68,iron,False,4.02,3.91
Nd1.34Hg3.83Cu2.22O2.87,cuprate,False,55.16,47.6
Fe1.85Se2.76Tl2.42,iron,False,5.45,5.21
Fe5.8Se1.95Bi4.68,iron,False,5.45,5.05
Hg3.75La4.68Cu0.81O0.78,cuprate,False,38.53,33.3
Ge0.72Ca2.65,random,False,10.3,9.9
Hg1.41Cu4.68O3.39,cuprate,False,39.43,37.89
Ba2.53Sr4.23Cu2.06O0.93,cuprate,False,43.48,41.99
Sn2.48Ni2.29,random,False,2.29,2.86
Ge0.66K2.5F5.93Ni2.82P4.12,random,False,10.05,9.13
Fe2.44Te4.08Sr4.87,iron,False,7.97,11.66
Fe2.11Se3.72Tl1.45,iron,False,5.66,5.32
O0.99Sn2.63P1.24,random,False,5.21,5.0
Nd2.44Cu2.99O0.56,cuprate,False,28.72,28.54
Y5.36Hg5.89Cu4.03O3.02,cuprate,False,49.55,50.21
Pb3.53V1.46K2.19,random,False,2.67,2.82
Tl1.32La1.73Se5.78H4.05,random,False,5.76,5.58
Se4.75Sn5.88F4.56Fe5.39Si4.41,random,False,9.44,9.11
Sr5.81La5.78Cu2.39O4.93,cuprate,False,48.39,44.79
Nb0.67Te0.45Co0.54,random,False,4.29,4.39
Sr3.38Bi4.49Cu4.64O5.4,cuprate,False,36.23,35.78
Ba0.56H1.43La4.6,random,False,10.47,10.1
Fe5.11Co3.32P2.65Pb5.04Sb0.72,random,False,8.57,8.13
K5.13Hg3.94O4.9,random,False,35.06,31.08
Ca5.49Cu2.23O2.69,cuprate,False,39.82,39.58
Ge4.78K0.57S4.41,random,False,3.3,3.27
Co1.64Si5.49Sr0.77Ni0.51Bi0.39,random,False,9.61,10.02
Sr3.29Nd0.39Cu0.24O2.37,cuprate,False,45.93,44.47
Tl3.97Ca5.02Cu2.61O0.71,cuprate,False,38.1,37.59
Mg0.31Sb3.08Ti2.52Sn3.75,random,False,7.44,7.7
Hg3.42Ca1.58Cu2.73O4.58,cuprate,False,61.5,59.86
H1.37O5.03Mo4.57Zr1.83,random,False,9.16,8.84
Fe2.24Te1.84Tl5.96,iron,False,4.1,3.88
Ni0.92Se3.72O0.12C2.98,random,False,3.96,4.32
Mg0.76As4.92O0.92S1.62Hg0.62,random,False,11.68,11.22
Nd0.47Sr1.11Cu0.16O1.48,cuprate,False,46.63,37.4
Y4.87Cu3.37O1.25,cuprate,False,31.74,30.94
Y5.09Cu0.16O3.32,cuprate,False,22.82,20.92
Hg5.7Ca1.27Cu1.06O1.55,cuprate,False,43.11,40.12
Rb4.86Ti4.25Mg2.96Fe3.59,random,False,6.96,6.64
Ca3.91Nd1.96Cu2.12O0.46,cuprate,False,40.18,37.09
S4.79Ti5.23C3.49Ca3.97P4.16,random,False,11.96,11.66
Hg4.85Cu1.09O0.84,cuprate,False,26.24,24.47
La1.77B3.67,random,False,9.79,10.46
Tl2.04Cu4.17O4.44,cuprate,False,31.79,30.52
La2.35Nd1.16Cu3.42O1.5,cuprate,False,38.61,36.13
Hg5.44La1.3Cu4.21O2.81,cuprate,False,52.18,48.18
Ca4.5Se4.91Y5.66,random,False,16.32,16.78
Fe0.46As2.83Bi3.32,iron,False,3.85,3.83
Sn0.74Y1.85Ti4.96Sb5.33Bi5.77,random,False,6.44,6.66
V5.17S3.59Zr4.75H3.9Ti5.02,random,False,15.01,14.86
Sn1.0Pb2.87,random,False,2.24,2.74
Nd1.86Tl2.01Cu1.56O5.6,cuprate,False,30.19,28.83
Co3.02Sb5.91Ge3.65,random,False,2.87,3.03
Ca3.2Co5.08O2.22,random,False,20.6,18.71
Bi5.44Ba0.13Cu5.13O1.97,cuprate,False,25.23,22.69
La1.44Cu2.1O0.25,cuprate,False,27.48,26.48
Ba4.49Cu0.72O0.81,cuprate,False,31.16,32.5
Nd3.54Ba1.88Cu4.19O2.12,cuprate,False,50.17,36.0
Sb2.37Mo4.2,random,False,4.88,4.62
Cu2.92Tl3.2Ca5.25Ge0.97,random,False,10.52,26.44
Fe2.85Se5.7Sr4.67,iron,False,9.04,9.21
Tl2.77Te0.7H4.57Nb2.27,random,False,6.73,6.13
Hg2.05Ca5.37Cu1.62O1.83,cuprate,False,50.17,47.02
Fe0.6Se5.57Hg1.33,iron,False,6.1,6.17
Sn4.74Ca2.15La3.37Bi5.8,random,False,4.71,4.84
Sn0.19Rb0.32Sr0.34Tl2.05Bi3.5,random,False,3.56,3.95
La5.83Co5.99Se0.46Sb5.12,random,False,5.85,6.03
Ge0.6Sb3.33Se0.12,random,False,2.78,2.69
Fe3.06P5.23Ca1.49,iron,False,12.86,13.16
Ca0.39As2.67O4.39Tl2.23,random,False,13.04,12.87
As5.39Nb5.22V3.12P1.16,random,False,10.15,9.84
Tl0.21Sr3.73,random,False,3.54,3.65
Ba4.68Cu5.93O0.32,cuprate,False,32.44,31.52
Fe5.73As2.68Bi1.3,iron,False,6.1,5.86
Sr1.75Se1.93Ba5.62Te0.53Co4.0,random,False,15.41,14.92
Tl4.08V5.12As4.03S0.25,random,False,7.08,7.16
Y3.26B5.86Hg5.75Sb1.66,random,False,10.35,10.7
Fe1.84Te0.37Tl5.28,iron,False,4.06,3.98
Y2.16Mg5.91,random,False,6.59,6.13
Co0.94Pb3.64Sb2.31As4.88Rb3.75,random,False,4.96,5.59
Bi5.11Ca4.57Cu4.92O4.34,cuprate,False,36.6,32.25
Sb0.77Hg0.83,random,False,3.06,3.25
Ba2.46Y2.71Cu4.77O3.93,cuprate,False,59.34,42.89
Y3.22Pb5.38Si0.24Sr5.1,random,False,8.37,8.12
Fe4.18P5.49La3.49,iron,False,7.11,16.97
Ba3.54Nb1.58As4.0Se4.54,random,False,7.78,7.97
Hg4.53Cu3.68O5.04,cuprate,False,37.17,35.57
Fe2.88P5.58Hg1.02,iron,False,10.42,10.17
La4.3Cu4.43O0.37,cuprate,False,26.1,26.18
Nd5.82Tl2.45Cu5.56O4.7,cuprate,False,43.86,41.34
K4.39Rb5.24,random,True,2.77,3.09
Cu0.45Ni5.19C0.44,random,False,7.54,7.56
Fe4.14As2.81Y4.76,iron,False,7.23,7.28
Tl0.49Cu0.55O1.03,cuprate,False,27.06,24.99
Bi1.32Tl2.31Cu1.09O4.09,cuprate,False,15.25,15.23
V1.27Fe0.4,random,False,4.85,5.16
Y0.2P4.21,random,False,4.24,4.36
Tl2.9Cu1.2O0.19,cuprate,False,19.88,19.32
Hg5.96Nd2.72Cu5.89O1.02,cuprate,False,46.38,46.42
Y5.86Cu0.79O3.05,cuprate,False,26.72,25.47
Nb1.86Mg0.38V4.91,random,False,7.12,6.53
Ca2.88Cu3.87O0.15,cuprate,False,25.91,26.35
Sn4.49As2.9,random,False,2.45,2.88
Ba4.27Nd5.62Cu2.63O0.37,cuprate,False,38.55,32.37
Si4.22O4.15Sr1.67Ge5.84P2.07,random,False,13.75,13.61
Bi5.81Y2.4Cu0.29O2.35,cuprate,False,13.99,13.37
Y4.53Fe2.46,random,False,5.25,5.01
Pb5.17Bi1.98Zr5.05P1.44,random,False,6.61,5.59
Ba2.36La3.9Cu2.28O4.48,cuprate,False,48.29,44.54
La4.0Cu3.96O4.13,cuprate,False,29.75,34.42
Sb3.62La3.75K2.09Ba2.31Hg4.19,random,False,7.66,7.98
Mo4.48Ni2.96Tl1.18Se1.11,random,False,5.17,5.41
Fe4.53Se2.17La2.14,iron,False,8.07,8.11
Nd2.82Bi5.28Cu5.29O2.88,cuprate,False,22.08,22.02
Sb5.2V0.21H1.74La0.73,random,False,5.17,5.55
La2.09Cu4.72O3.53,cuprate,False,32.27,29.54
Sr2.1Cu2.0O5.84,cuprate,False,47.48,40.76
Fe2.0Te0.5Nd0.44,iron,False,7.68,7.18
Pb3.17Ni5.47Rb3.89Ti0.11,random,False,4.35,4.09
Sr1.39La2.56Cu0.22O5.33,cuprate,False,31.17,30.0
Fe0.46P3.37Nd4.41,iron,False,5.76,5.5
K5.56Mg4.58Nb1.15Sn4.51,random,False,5.39,5.54
Mg2.44As1.49Cu1.11H4.9,random,False,26.95,24.37
Fe4.88Se0.98Hg2.81,iron,False,9.63,9.1
Sn4.31O3.52Rb3.31,random,False,7.17,7.53
V4.63Ca4.6,random,False,5.89,5.93
Ba1.75Sb0.68Sr4.22Hg1.15Bi0.4,random,False,10.14,9.39
Ba3.31Cu2.85O4.38,cuprate,False,50.16,48.59
Bi1.01Cu5.12O1.09,cuprate,False,16.69,14.95
Hg2.61Cu1.51O0.57,cuprate,False,29.93,27.84
Ba4.96H5.97Sn5.37,random,False,12.99,11.94
Ba0.91Cu2.6O5.82,cuprate,False,46.2,43.28
Fe4.97Te5.56Tl4.72,iron,False,4.53,4.44
Fe2.57Se3.64Ca5.52,iron,False,16.78,16.02
Ge2.48Hg1.23H3.86Bi2.33Ca2.7,random,False,25.03,20.79
Co1.57F1.99Ba5.34La2.83,random,False,28.49,28.57
Bi3.61B1.12,random,False,3.22,3.29
Fe1.9Se0.65Tl5.66,iron,False,5.01,4.93
C4.45Mo1.32,random,False,6.09,6.12
Sr2.41Tl5.42Cu2.03O4.15,cuprate,False,46.09,42.3
Se4.95Ba5.03,random,False,4.78,4.55
P0.71Zr2.77V3.56,random,False,8.1,7.84
Fe3.6P4.73Ba2.73,iron,False,10.78,10.42
P0.84F1.88B4.51Sn3.77,random,False,5.49,5.69
Sr2.31Ba1.26Cu4.83O1.3,cuprate,False,44.68,41.94
Bi3.98Ba0.33F0.36,random,False,7.27,7.26
O0.59Co1.14Bi1.36,random,False,6.13,6.14
Cu5.13H0.47Ti5.27,random,False,26.22,25.34
Hg5.75Cu1.98O5.18,cuprate,False,33.04,32.23
Hg0.53Sr3.39Cu5.31O3.97,cuprate,False,57.18,54.67
Nd1.54Hg2.3Cu5.38O2.02,cuprate,False,54.54,44.19
Fe2.72Te2.56Bi5.31,iron,False,3.8,4.13
Ni1.4Te2.54Ca2.42,random,False,7.49,7.96
Cu2.7Tl0.62H3.88Bi4.65Ti3.48,random,False,29.05,24.05
Bi5.79Cu3.6O2.91,cuprate,False,10.16,9.57
Mo5.81C2.84Nb1.0,random,False,7.03,7.18
Sr4.44Ba4.18Cu5.34O3.32,cuprate,False,52.07,48.73
Te4.22Tl5.27Ni3.07La3.25Sb2.32,random,False,4.1,4.14
Fe5.46Se2.5La5.81,iron,False,7.07,6.95
Se4.3Y5.33Co4.2Sb3.09,random,False,7.63,12.95
C0.44O5.84Ni3.34Y1.16,random,False,8.81,9.08
P4.89Ge3.41Co2.52Te0.16,random,False,6.29,5.95
Ba1.17La2.0Cu5.01O1.1,cuprate,False,45.79,43.5
P4.82Hg4.05F3.15,random,False,6.81,6.17
Tl1.07Cu2.0O0.77,cuprate,False,30.78,28.81
Sr0.34F5.3Cu5.58V0.62,random,False,30.58,29.67
Ca1.03Mg0.95Co0.31Ge4.49K2.66,random,False,8.23,8.47
La4.65C5.8V1.01Si1.95Zr2.08,random,False,11.68,11.67
Fe0.12Te5.47Sr3.33,iron,False,5.62,5.96
Zr4.87Si5.16Rb4.26,random,False,6.53,6.7
Ba5.33F0.28,random,False,15.52,15.92
K3.99Pb5.2Rb3.92Sr2.89,random,False,4.56,4.17
B2.06Sr2.69,random,False,12.08,13.38
Sn0.73Ti5.58F0.52C4.29,random,False,8.18,8.19
Bi3.49Cu2.74O3.7,cuprate,False,9.67,9.69
Se5.45C2.86B3.39Ba2.5Co3.65,random,False,8.69,8.73
V1.4Pb3.69,random,False,2.28,2.48
Sr1.27Cu5.08O4.95,cuprate,False,44.29,40.59
Bi3.19Ca0.87Cu3.07O4.86,cuprate,False,25.58,22.83
Ca2.22As2.38P1.7Cu3.29S0.23,random,False,28.12,26.18
H0.41Zr1.77,random,False,7.57,7.36
Tl4.45Bi2.41Cu2.19O4.94,cuprate,False,18.38,16.35
Ca2.95Cu1.7O2.43,cuprate,False,43.7,29.01
Hg5.1Nd1.24Cu3.16O1.45,cuprate,False,48.13,44.15
Ba2.98Cu2.56O3.99,cuprate,False,50.21,44.56
Cu3.23As1.75Ba0.11C4.19,random,False,10.65,10.32
Rb4.8V4.19B2.61K4.77Cu2.3,random,False,10.76,10.6
Fe3.95As2.26Ba3.59,iron,False,8.09,8.09
Pb5.75Co5.95P2.67,random,False,5.54,5.57
S3.64C5.11Ca1.76V0.74Cu0.96,random,False,8.99,9.43
V3.47Nb5.97,random,False,4.16,4.42
Se5.51Co2.86Ti3.58Cu4.94Ni4.58,random,False,13.45,12.97
Bi5.41Cu0.32O2.63,cuprate,False,5.73,5.6
Ca0.5Hg4.91Cu1.09O1.15,cuprate,False,40.96,38.2
Nd1.63Hg2.39Cu0.23O2.71,cuprate,False,44.91,44.06
V3.94As2.87Rb1.27,random,False,3.82,4.15
Fe5.69As1.99Ba0.76,iron,False,9.02,9.53
Hg4.69Y1.43Cu5.67O5.9,cuprate,False,58.96,54.01
Sr2.48La4.84Cu1.33O5.1,cuprate,False,43.11,40.75
Bi0.87Nb4.39Rb2.68,random,False,2.45,2.78
Te0.96Si3.46F5.43,random,True,7.36,7.41
Zr1.02Hg1.99V2.38,random,False,4.58,4.1
La3.91Cu3.72O3.55,cuprate,False,29.94,28.08
Sr5.88Y0.18Cu4.23O2.38,cuprate,False,45.3,36.9
Y3.32Mg5.83S3.34Co2.87,random,False,20.45,19.3
Te1.73Si5.2B0.6,random,False,5.51,5.75
